published_at,updated_at,like_count,text
2022-08-02T21:24:00Z,2022-08-02T21:24:00Z,0,"In my city recycling comes once a month on the second full week (same day as trash day), I&#39;ve been yelled at for forgetting so many times 🙄 I have ADHD and some times I forget what day it is let alone"
2022-08-02T15:50:11Z,2022-08-02T15:50:11Z,0,"This was recommended to me by youtube today after I watched a few of your videos. I live in the UK and have weekly food waste and paper waste disposal, bi-weekly large green bins Canada style along with mixed recycling black bin. So I put all the bins out this Monday on collection day in a row and for some reason was the only house on the street not to have their food waste and paper recycling collected. I checked the food waste bin like &quot;Huh maybe this was emptied.&quot; only to open it and be greeted with a writhing ocean of maggots at the bottom in my food waste. Actually vile. The imagine is going to haunt me and live rent free in my head for weeks if not months. I wish we had collections like this but I am stuck in shitty UK suburbia, much more walkable and accessible than North American suburbs but still terribly lonely and now I am discovering inefficient in so many other ways :D"
2022-06-21T11:34:33Z,2022-06-21T11:34:33Z,0,"Hi from Barcelona,We have had containers for many years, actually the &quot;trash day&quot; sounds very strange to me. But... It seems that in the future containers will be replaced by &quot;Garbage Days&quot;. Only reason, to increase the recycling rate.Here they call it &quot;door&quot; by &quot;door&quot;. 🙂"
2022-06-19T01:33:45Z,2022-06-19T01:33:45Z,1,"In Lisbon, trash is collected every day, normal and recycling alternating."
2022-06-16T12:25:37Z,2022-06-16T12:25:37Z,0,"Similar problem in the UK. We live right next to the sea in a small but very cozy town, it&#39;s lovely!But the fucking seagulls.We have a garbage day, and some times they come so early, you can&#39;t get it out before they come on weird sleep schedules.Unless they come at 2 PM because ?????????Anyway.We put out our garbage from 8 PM to 1 AM depending when we are ready to do so, the prior evening.It&#39;s also like yours was in that it&#39;s regular garbo one week, garbo and recycling the 2nd week. It&#39;s infuriating and piles the shit up INSIDE our apartment because...yeah.Anyway!The seagulls will just go and peck the regular black trash bags and split shit open and slam it all over the entire street, so we have to get &quot;Seagull proof bags&quot; to put the trash bags into. :-P"
2022-06-10T01:26:48Z,2022-06-10T01:26:48Z,0,&quot;is particularly confusing because garbage and recycling is only picked up fortnightly on alternating weeks.&quot; FORTNITE! HAHA HE SAID FORTNITELY
2022-06-03T15:30:42Z,2022-06-03T15:30:42Z,0,"At 2:19 I GASPED. I have always wondered what an efficient way to recycle would look like — Americans largely don’t, even if their complex or house comes with a recycling dumpster or bin. (Takes too much energy to separate?) I wish we had something like that. Especially for apartment complexes. Holy shit."
2022-05-29T02:38:31Z,2022-05-29T02:38:31Z,1,"The Swiss canton from which my wife hails has a substantially similar system to Amsterdam&#39;s and...I kind of hate it. I really prefer having on-site dumpsters (as at my old condo in central Austin) or those big ugly trash/recycling cans you hate (as I have here in Round Rock, a few miles outside of Austin). Perhaps it is just the stubbornness of expectation, but I just find it more convenient to pop into my garage or around the corner of the building with my 60-liter bag and toss it, and don&#39;t mind the weekly trash collection and fortnightly recycling collection. De gustibus non disputandum est, I suppose."
2022-05-24T22:50:26Z,2022-05-24T22:50:26Z,3,"This is so awesome that you posted about this. I remember seeing this a lot when I was in Vienna for recycling and tried explaining it to people, they thought I was crazy."
2022-05-04T08:37:31Z,2022-05-04T08:37:31Z,0,"Because we have a slight recycling fetish in Germany, wich per se is a good attitude, it leads in heaving 4-5 different bins in front of your property. Usually one for paper, one for plastic, one for organic, one for residual, in some citys one further one for metal. Every bin is collected on a different day of the week and in different periods (eg. residual every week, paper every two, etc.). You could imagine how I hate Garbage day even more. It`s just annoying + calendar organization work."
