published_at,updated_at,like_count,text
2022-11-09T12:29:26Z,2022-11-09T12:29:26Z,0,Heerlijk dat plat amsterdams!
2022-11-09T12:08:19Z,2022-11-09T12:08:19Z,1,"15.000 fietsen? Per jaar? Da’s bijna 290 fietsen per week! Non-stop met kerst, oud en nieuw, en Sinterklaas!! Wat doen die Amsterdammers toch!!"
2022-11-06T19:28:51Z,2022-11-06T19:28:51Z,0,"Amsterdam heeft heel wat ,,lijken,, in de kast?"
2022-11-05T23:01:42Z,2022-11-05T23:01:42Z,0,Nou zou ik nog niet dood willen worden gevonden in amsterdam. Maar dit lijkt mij nou een gouwe job.
2022-11-05T21:40:56Z,2022-11-05T21:40:56Z,3,Heerlijke Amsterdammers !
2022-11-05T14:44:19Z,2022-11-05T14:44:19Z,2,Kijk tenminste echte oer amsterdammers. Ze zijn een uitstervend soort helaas. Echte ouwe gezellige volkse amsterdammers zijn er nog weinig van over
2022-11-05T07:47:16Z,2022-11-05T07:47:16Z,1,Echte AmsterdammersHelaas  bezet door internationale studenten  expats en kakkers met geld  tegenwoordig.Die je ook nog een met de nek aankijken als je Amsterdams praat
2022-11-04T00:27:35Z,2022-11-04T00:27:35Z,14,"Acht lijken in 19 jaar vindt ik nogal meevallen, zeker voor Amsterdam. Daar ligt er elk weekend wel eentje bezopen in de gracht."
2022-11-03T14:34:23Z,2022-11-03T14:34:23Z,14,"In de jaren 70/80 was ik marineduiker, werd op een gegeven moment gevraagd voor de film Amsterdamned en in één scene zat ik dus aan de andere kant van dat rambo-mes tussen Leontien Ruiters d&#39;r benen, dat mes heb ik toen per ongeluk naar de bodem laten zinken dus dat zou er mogelijk nog kunnen liggen. Als je het vindt mag je het hebben en verkopen."
2022-11-03T12:14:23Z,2022-11-03T12:14:23Z,33,Als ik dit zie voel ik weer hoeveel ik van Amsterdam hou.Mooi werk altijd nodig.
2022-11-03T09:19:15Z,2022-11-03T09:19:15Z,10,In &quot;Amsterdamned&quot; (1987) haalde zo&#39;n kerel een tientje uit de gracht.
