"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2007";"    8204"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2008";"    8144"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2009";"    8156"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2010";"    8216"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2015";"    8276"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2016";"    8478"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2017";"    8728"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2018";"    8762"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2019";"    8352"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2020";"    8277"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2021*";"    8329"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2007";"      82"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2008";"      89"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2009";"      78"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2010";"      82"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2015";"      39"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2016";"      47"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2017";"      49"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2018";"      53"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2019";"      52"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2020";"      63"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2021*";"      59"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2007";"    1136"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2008";"    1191"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2009";"     995"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2010";"     963"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2015";"     834"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2016";"     705"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2017";"     750"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2018";"     665"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2019";"     688"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2020";"     629"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2021*";"     640"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2007";"    1167"
