"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"1994";"   10263"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"1996";"    9847"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"1998";"    9871"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2000";"   10278"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2001";"   10132"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2002";"    9705"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2003";"    9125"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2004";"    8438"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2005";"    8070"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2006";"    8076"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2007";"    8204"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2008";"    8144"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2009";"    8156"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2010";"    8216"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2011";"    8129"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2012";"    8242"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2013";"    8395"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2014";"    8207"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2015";"    8276"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2016";"    8478"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2017";"    8728"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2018";"    8762"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2019";"    8352"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2020";"    8277"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"10-12 Voedings-, genotmiddelenindustrie";"2021*";"    8329"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"1994";"      72"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"1996";"      67"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"1998";"      86"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2000";"      73"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2001";"      68"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2002";"     100"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2003";"      92"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2004";"      71"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2005";"      77"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2006";"      81"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2007";"      82"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2008";"      89"
