,title,link,author
0,Consumers in a circular economy: economic analysis of household waste sorting behaviour,https://www.sciencedirect.com/science/article/pii/S0921800919302976,"D Nainggolan, AB Pedersen, S Smed, KH Zemo… - Ecological …, 2019 - Elsevier"
1,Circular economy and household e-waste management in India: Integration of formal and informal sectors,https://www.sciencedirect.com/science/article/pii/S0892687522002710,"D Sengupta, I Ilankoon, KD Kang, MN Chong - Minerals Engineering, 2022 - Elsevier"
2,Household organic waste: Integrate psychosocial factors to define strategies toward a circular economy,https://www.sciencedirect.com/science/article/pii/S0959652622040185,"É Celestino, A Carvalho, JM Palma-Oliveira - Journal of Cleaner Production, 2022 - Elsevier"
3,"Waste prevention, energy recovery or recycling-Directions for household food waste management in light of circular economy policy",https://www.sciencedirect.com/science/article/pii/S0921344920302263,"I de Sadeleer, H Brattebø, P Callewaert - Resources, conservation and …, 2020 - Elsevier"
4,Potential for circular economy in household WEEE management,https://www.sciencedirect.com/science/article/pii/S0959652617304808,"K Parajuly, H Wenzel - Journal of Cleaner Production, 2017 - Elsevier"
5,Households role in the circular economy,http://ppeu.stu.cn.ua/article/view/126051,"Z Derii - Проблеми і перспективи економіки та управління, 2017 - ppeu.stu.cn.ua"
6,Towards circular economy in the household appliance industry: An overview of cases,https://www.mdpi.com/2079-9276/9/11/128,"G Bressanelli, N Saccani, M Perona, I Baccanelli - Resources, 2020 - mdpi.com"
7,Sustainable electronic waste management among households: a circular economy perspective from a developing economy,https://www.emerald.com/insight/content/doi/10.1108/MEQ-04-2021-0089/full/html,"D Ofori, A Opoku Mensah - Management of Environmental Quality: An …, 2022 - emerald.com"
8,Internet of Things (IoT)-Enabled accountability in source separation of household waste for a circular economy in China,https://www.sciencedirect.com/science/article/pii/S0959652621009926,"B Wang, M Farooque, RY Zhong, A Zhang… - Journal of Cleaner …, 2021 - Elsevier"
9,Waste management in Germany–development to a sustainable circular economy?,https://www.sciencedirect.com/science/article/pii/S1878029616300901,"M Nelles, J Gruenes, G Morscheck - Procedia Environmental Sciences, 2016 - Elsevier"
0,Consumers' perspective on circular economy strategy for reducing food waste,https://www.mdpi.com/2071-1050/9/1/141,"M Borrello, F Caracciolo, A Lombardi, S Pascucci… - Sustainability, 2017 - mdpi.com"
