titles,links,authors,dois
[HTML][HTML] Consumers in a circular economy: economic analysis of household waste sorting behaviou,https://www.sciencedirect.com/science/article/pii/S0921800919302976,"D Nainggolan, AB Pedersen, S Smed, KH Zemo… - Ecological …, 2019 - Elsevier",
[HTML][HTML] Circular economy and household e-waste management in India: Integration of formal and informal sector,https://www.sciencedirect.com/science/article/pii/S0892687522002710,"D Sengupta, I Ilankoon, KD Kang, MN Chong - Minerals Engineering, 2022 - Elsevier",
[HTML][HTML] Household organic waste: Integrate psychosocial factors to define strategies toward a circular econom,https://www.sciencedirect.com/science/article/pii/S0959652622040185,"É Celestino, A Carvalho, JM Palma-Oliveira - Journal of Cleaner Production, 2022 - Elsevier",
"[HTML][HTML] Waste prevention, energy recovery or recycling-Directions for household food waste management in light of circular economy polic",https://www.sciencedirect.com/science/article/pii/S0921344920302263,"I de Sadeleer, H Brattebø, P Callewaert - Resources, conservation and …, 2020 - Elsevier",
[HTML][HTML] Potential for circular economy in household WEEE managemen,https://www.sciencedirect.com/science/article/pii/S0959652617304808,"K Parajuly, H Wenzel - Journal of Cleaner Production, 2017 - Elsevier",
Households role in the circular economy,http://ppeu.stu.cn.ua/article/view/126051,"Z Derii - Проблеми і перспективи економіки та управління, 2017 - ppeu.stu.cn.ua",
Towards circular economy in the household appliance industry: An overview of cases,https://doi.org/10.3390/resources9110128,"G Bressanelli, N Saccani, M Perona, I Baccanelli - Resources, 2020 - mdpi.com",https://doi.org/10.3390/resources9110128
Sustainable electronic waste management among households: a circular economy perspective from a developing economy,https://doi.org/10.1108/MEQ-04-2021-0089/full/html,"D Ofori, A Opoku Mensah - Management of Environmental Quality: An …, 2022 - emerald.com",https://doi.org/10.1108/MEQ-04-2021-0089/full/html
[HTML][HTML] Internet of Things (IoT)-Enabled accountability in source separation of household waste for a circular economy in Chin,https://www.sciencedirect.com/science/article/pii/S0959652621009926,"B Wang, M Farooque, RY Zhong, A Zhang… - Journal of Cleaner …, 2021 - Elsevier",
Waste management in Germany–development to a sustainable circular economy?,https://www.sciencedirect.com/science/article/pii/S1878029616300901,"M Nelles, J Gruenes, G Morscheck - Procedia Environmental Sciences, 2016 - Elsevier",
Consumers' perspective on circular economy strategy for reducing food waste,https://doi.org/10.3390/su9010141,"M Borrello, F Caracciolo, A Lombardi, S Pascucci… - Sustainability, 2017 - mdpi.com",https://doi.org/10.3390/su9010141
[HTML][HTML] Urban waste flows and their potential for a circular economy model at city-region leve,https://www.sciencedirect.com/science/article/pii/S0956053X18306536,"V Zeller, E Towa, M Degrez, WMJ Achten - Waste management, 2019 - Elsevier",
Circular economy in the context of food losses and waste,https://doi.org/10.3390/su141610116,"A Dudziak, M Stoma, AJ Derkacz - Sustainability, 2022 - mdpi.com",https://doi.org/10.3390/su141610116
[HTML][HTML] Circular economy of expanded polystyrene container production: Environmental benefits of household waste recycling considering renewable energie,https://www.sciencedirect.com/science/article/pii/S2352484722000713,"J Hidalgo-Crespo, CM Moreira, FX Jervis, M Soto… - Energy Reports, 2022 - Elsevier",
[HTML][HTML] Recycling and management practices of plastic packaging waste towards a circular economy in South Kore,https://www.sciencedirect.com/science/article/pii/S0921344920301191,"YC Jang, G Lee, Y Kwon, J Lim, J Jeong - Resources, Conservation and …, 2020 - Elsevier",
[HTML][HTML] Introduction of the circular economy to expanded polystyrene household waste: A case study from an Ecuadorian plastic manufacture,https://www.sciencedirect.com/science/article/pii/S221282712030250X,"J Hidalgo-Crespo, FX Jervis, CM Moreira, M Soto… - Procedia CIRP, 2020 - Elsevier",
[HTML][HTML] Waste management in small and medium enterprises (SMEs): compliance with duty of care and implications for the circular econom,https://www.sciencedirect.com/science/article/pii/S0959652620338154,"R Woodard - Journal of Cleaner Production, 2021 - Elsevier",
[HTML][HTML] Non-household end-use plastics: The 'forgotten'plastics for the circular econom,https://www.sciencedirect.com/science/article/pii/S2211339821000125,"K Kleinhans, R Demets, J Dewulf, K Ragaert… - Current Opinion in …, 2021 - Elsevier",
From linear to a circular economy in the e‐waste management sector: Experience from the transition barriers in the United Kingdom,https://onlinelibrary.wiley.com/doi/abs/10.1002/bse.3365,"D Sundar, K Mathiyazhagan, V Agarwal… - … Strategy and the …, 2023 - Wiley Online Library",
[HTML][HTML] Environmental and economic implications of recovering resources from food waste in a circular econom,https://www.sciencedirect.com/science/article/pii/S0048969719334357,"PC Slorach, HK Jeswani, R Cuéllar-Franca… - Science of the Total …, 2019 - Elsevier",
Consumption work in household circular economy activities: findings from a cultural probe experiment,https://www.tandfonline.com/doi/abs/10.1080/17530350.2022.2066150,"TE Sutcliffe - Journal of Cultural Economy, 2022 - Taylor & Francis",
Transformation towards circular economy (CE) in municipal waste management system: Model solutions for Poland,https://doi.org/10.3390/su12114561,"M Smol, J Duda, A Czaplicka-Kotas, D Szołdrowska - Sustainability, 2020 - mdpi.com",https://doi.org/10.3390/su12114561
[HTML][HTML] A global review of consumer behavior towards e-waste and implications for the circular econom,https://www.sciencedirect.com/science/article/pii/S0959652621025129,"MT Islam, N Huda, A Baumber, R Shumon… - Journal of Cleaner …, 2021 - Elsevier",
[HTML][HTML] Circular economy is key! Designing a digital artifact to foster smarter household biowaste sortin,https://www.sciencedirect.com/science/article/pii/S0959652623027713,"C Crome, V Graf-Drasch, F Hawlitschek… - Journal of Cleaner …, 2023 - Elsevier",
[HTML][HTML] Steps toward a resilient circular economy in Indi,"https://doi.org/10.1007/s10098-020-01982-0"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10098-020-01982-0"",""Journal","J Fiksel, P Sanjay, K Raman - Clean Technologies and Environmental …, 2021 - Springer","https://doi.org/10.1007/s10098-020-01982-0"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10098-020-01982-0"",""Journal"
Pengenalan ekonomi sirkular (circular economy) bagi masyarakat umum,https://doi.org/10.55983/empjcs.v1i2.68,"L Harahap, N Dwiningsih - Empowerment: Jurnal …, 2022 - journal.sinergicendikia.com",https://doi.org/10.55983/empjcs.v1i2.68
[PDF][PDF] Households textile waste management in the context of a circular economy in Romania,http://www.eemj.icpm.tuiasi.ro/pdfs/vol20/no1/Full/9_125_Tripa_20.pdf,"S Tripa, L Indrie - Environmental Engineering & Management …, 2021 - eemj.icpm.tuiasi.ro",
Towards a circular economy in food consumption: Food waste reduction practices as ethical work,https://journals.sagepub.com/doi/abs/10.1177/1469540520926252,"T Lehtokunnas, M Mattila… - Journal of Consumer …, 2022 - journals.sagepub.com",
[HTML][HTML] Circular economy and household e-waste management in India. Part II: A case study on informal e-waste collectors (Kabadiwalas) in Indi,https://www.sciencedirect.com/science/article/pii/S0892687523001681,"D Sengupta, I Ilankoon, KD Kang, MN Chong - Minerals Engineering, 2023 - Elsevier",
Concept of sustainable waste management in the city of Zagreb: Towards the implementation of circular economy approach,https://www.tandfonline.com/doi/abs/10.1080/10962247.2016.1229700,"B Ribić, N Voća, B Ilakovac - Journal of the Air & Waste …, 2017 - Taylor & Francis",
[HTML][HTML] Towards a circular economy for sustainable development: An application of full cost accounting to municipal waste recyclable,https://www.sciencedirect.com/science/article/pii/S0959652620340920,"M Abou Taleb, O Al Farooque - Journal of Cleaner Production, 2021 - Elsevier",
Home bio-waste composting for the circular economy,https://doi.org/10.3390/en14196164,"P Sulewski, K Kais, M Gołaś, G Rawa, K Urbańska… - Energies, 2021 - mdpi.com",https://doi.org/10.3390/en14196164
[HTML][HTML] Food supply chain waste reduction for a circular economy in the COVID-19 pandemic: a longitudinal study of New Zealand consumer,https://doi.org/10.1108/IJLM-03-2022-0100/full/html,"N Luo, T Olsen, S Ganguly, Y Liu - The International Journal of …, 2023 - emerald.com",https://doi.org/10.1108/IJLM-03-2022-0100/full/html
Circular economy in Russia: Drivers and barriers for waste management development,https://doi.org/10.3390/su11205837,"O Fedotkina, E Gorbashko, N Vatolkina - Sustainability, 2019 - mdpi.com",https://doi.org/10.3390/su11205837
[HTML][HTML] Waste strategies development in the framework of circular econom,https://doi.org/10.3390/su132313467,"AA Zorpas, MK Doula, M Jeguirim - Sustainability, 2021 - mdpi.com",https://doi.org/10.3390/su132313467
"[HTML][HTML] Reforming MSWM in Sukunan (Yogjakarta, Indonesia): A case-study of applying a zero-waste approach based on circular economy paradig",https://www.sciencedirect.com/science/article/pii/S0959652620348198,"TA Kurniawan, R Avtar, D Singh, W Xue… - Journal of cleaner …, 2021 - Elsevier",
[HTML][HTML] Full circle: Challenges and prospects for plastic waste management in Australia to achieve circular econom,https://www.sciencedirect.com/science/article/pii/S0959652622027160,"R Hossain, MT Islam, A Ghose, V Sahajwalla - Journal of Cleaner …, 2022 - Elsevier",
[HTML][HTML] Food waste valorisation and circular economy concepts in insect production and processin,https://www.sciencedirect.com/science/article/pii/S0956053X20305213,"S Ojha, S Bußler, OK Schlüter - Waste Management, 2020 - Elsevier",
[HTML][HTML] Getting to the bottom of food waste: identifying obstacles to effective circular economy practices in a Thai semi-urban contex,"https://doi.org/10.1007/s10163-021-01347-9"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-021-01347-9"",""Journal","I Rado - Journal of Material Cycles and Waste Management, 2022 - Springer","https://doi.org/10.1007/s10163-021-01347-9"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10163-021-01347-9"",""Journal"
[HTML][HTML] Municipal solid waste management and waste-to-energy in the context of a circular economy and energy recycling in Europ,https://www.sciencedirect.com/science/article/pii/S0360544217319862,"J Malinauskaite, H Jouhara, D Czajczyńska… - Energy, 2017 - Elsevier",
"[HTML][HTML] Household Food Waste Behavior in Klang Valley, Malaysia, and Its Potential in the Circular Econom",https://doi.org/10.3390/su15129431,"ZZ Ariffin, SN Anuar, NF Mangadi, AY Yaakop… - Sustainability, 2023 - mdpi.com",https://doi.org/10.3390/su15129431
[HTML][HTML] Waste management challenges in transition to circular economy–case of Croati,https://www.sciencedirect.com/science/article/pii/S0959652620305424,"LR Luttenberger - Journal of Cleaner production, 2020 - Elsevier",
[HTML][HTML] Drivers for development of circular economy–A case study of Serbi,https://www.sciencedirect.com/science/article/pii/S019739751630128X,"M Ilić, M Nikolić - Habitat International, 2016 - Elsevier",
[HTML][HTML] Solid waste management in the context of a circular economy in the MENA regio,https://doi.org/10.3390/su14010480,"S Hemidat, O Achouri, L El Fels, S Elagroudy, M Hafidi… - Sustainability, 2022 - mdpi.com",https://doi.org/10.3390/su14010480
[BOOK][B] An introduction to circular econom,"https://doi.org/10.1007/978-981-15-8510-4_20"",""Page"":""chapter"",""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-978-981-15-8510-4_20"",""Keywords"":""Circular","L Liu, S Ramakrishna - 2021 - Springer","https://doi.org/10.1007/978-981-15-8510-4_20"",""Page"":""chapter"",""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-978-981-15-8510-4_20"",""Keywords"":""Circular"
[HTML][HTML] Barriers to organic waste management in a circular econom,https://www.sciencedirect.com/science/article/pii/S0959652622018868,"S Kharola, M Ram, N Goyal, SK Mangla… - Journal of Cleaner …, 2022 - Elsevier",
[HTML][HTML] The future of food waste: Application of circular econom,https://www.sciencedirect.com/science/article/pii/S2772427122000602,"H Jamaludin, HSE Elmaky, S Sulaiman - Energy Nexus, 2022 - Elsevier",
Do we have the right performance indicators for the circular economy?: insight into the Swiss waste management system,https://onlinelibrary.wiley.com/doi/abs/10.1111/jiec.12506,"M Haupt, C Vadenbo, S Hellweg - Journal of Industrial Ecology, 2017 - Wiley Online Library",
[HTML][HTML] Transition from waste management to circular economy: the European Union roadma,"https://doi.org/10.1007/s10668-021-02050-3"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10668-021-02050-3"",""Journal","E Chioatto, P Sospiro - Environment, Development and Sustainability, 2023 - Springer","https://doi.org/10.1007/s10668-021-02050-3"",""Page"":""article"",""springerJournal"":true,""page"":{""attributes"":{""environment"":""live""}},""Country"":""NL"",""japan"":false,""doi"":""10.1007-s10668-021-02050-3"",""Journal"
[HTML][HTML] Is It Possible to Implement the Same Circular-Economy Concept in Rural and Urban Areas? Study on Willingness to Pay for Household Wast,https://doi.org/10.3390/su15075843,"NID Arista, D Handayani, N Ernawati - Sustainability, 2023 - mdpi.com",https://doi.org/10.3390/su15075843
Moving towards a circular economy: Rethinking waste management practices,https://doi.org/10.1453/jest.v3i2.854,"GE Halkos, KN Petrou - Journal of Economic and Social …, 2016 - journals.econsciences.com",https://doi.org/10.1453/jest.v3i2.854
[HTML][HTML] What activities reduce plastic waste the most?–the path to a circular economy for Japan's manufacturing industr,https://www.sciencedirect.com/science/article/pii/S0956053X22003944,"M Yamamoto, SN Eva - Waste Management, 2022 - Elsevier",
"Towards a circular economy development for household used cooking oil in Guayaquil: Quantification, characterization, modeling, and geographical mapping",https://doi.org/10.3390/su14159565,"J Hidalgo-Crespo, CI Alvarez-Mendoza, M Soto… - Sustainability, 2022 - mdpi.com",https://doi.org/10.3390/su14159565
[HTML][HTML] Energy production from biodegradable waste as an example of the circular econom,https://doi.org/10.3390/en15041269,"M Szyba, J Mikulik - Energies, 2022 - mdpi.com",https://doi.org/10.3390/en15041269
